"SiteID","layerID","SimYear","nvar","Value","sd"
"PA132","3","17","14","7.67700135028773","0.5"
"PA132","3","30","14","7.8157101653379","0.5"
"PA132","1","10","17","384","0.5"
"PA132","1","17","17","384","0.5"
"PA132","1","30","17","384","0.5"
"PA132","2","10","17","108","0.5"
"PA132","2","17","17","108","0.5"
"PA132","2","30","17","108","0.5"
"PA132","3","10","17","40","0.5"
"PA132","3","17","17","40","0.5"
"PA132","3","30","17","40","0.5"
"PA132","1","10","30","29.1098687749057","0.5"
"PA132","1","17","30","34.2858224435127","0.5"
"PA132","1","30","30","49.3841176979672","0.5"
"PA132","2","10","30","49.1551804560932","0.5"
"PA132","2","17","30","52.7948268729057","0.5"
"PA132","2","30","30","61.6452126035821","0.5"
"PA132","3","10","30","48.0298549485642","0.5"
"PA132","3","17","30","50.1208201759018","0.5"
"PA132","3","30","30","55.9441995004701","0.5"
"PA132","1","10","31","5108.78196999595","0.5"
"PA132","1","17","31","6017.16183883648","0.5"
"PA132","1","30","31","8666.91265599325","0.5"
"PA132","2","10","31","8626.73417004436","0.5"
"PA132","2","17","31","9265.49211619496","0.5"
"PA132","2","30","31","10818.7348119287","0.5"
"PA132","3","10","31","8429.23954347301","0.5"
"PA132","3","17","31","8796.20394087077","0.5"
"PA132","3","30","31","9818.2070123325","0.5"
"PA6","1","4","11","13.415324770931","0.5"
"PA6","1","17","11","13.8768899081467","0.5"
"PA6","1","30","11","14.4884407862424","0.5"
"PA6","2","4","11","22.9509291451578","0.5"
"PA6","2","17","11","23.6879808728365","0.5"
"PA6","2","30","11","24.5296679444277","0.5"
"PA6","3","4","11","27.252462538352","0.5"
"PA6","3","17","11","28.159638404206","0.5"
"PA6","3","30","11","29.1553943595364","0.5"
"PA6","1","4","12","12.7449244504148","0.5"
"PA6","1","17","12","13.2147538094276","0.5"
"PA6","1","30","12","13.8480183133753","0.5"
"PA6","2","4","12","24.2090534187025","0.5"
"PA6","2","17","12","25.5614950524532","0.5"
"PA6","2","30","12","27.2175059911987","0.5"
"PA6","3","4","12","33.0851127540433","0.5"
"PA6","3","17","12","35.3777969217573","0.5"
"PA6","3","30","12","38.0847551441219","0.5"
"PA6","1","4","13","4.5600708240708","0.5"
"PA6","1","17","13","4.91851181962983","0.5"
"PA6","1","30","13","5.42185386759717","0.5"
"PA6","2","4","13","10.7751768366994","0.5"
"PA6","2","17","13","12.0219915123543","0.5"
"PA6","2","30","13","13.6609113123469","0.5"
"PA6","3","4","13","4.33290422278513","0.5"
"PA6","3","17","13","4.96118348359492","0.5"
"PA6","3","30","13","5.76046355953041","0.5"
